ENSG00000198400	NTRK1
ENSG00000198825	INPP5F
ENSG00000249839	AC011330.1
ENSG00000249896	LINC02495
ENSG00000180787	ZFP3
ENSG00000126778	SIX1
ENSG00000131409	LRRC4B
ENSG00000134996	OSTF1
ENSG00000048545	GUCA1A
ENSG00000014914	MTMR11
ENSG00000150672	DLG2
ENSG00000196368	NUDT11
ENSG00000104413	ESRP1
ENSG00000105278	ZFR2
ENSG00000176788	BASP1
ENSG00000174586	ZNF497
ENSG00000112137	PHACTR1
ENSG00000135482	ZC3H10
ENSG00000178919	FOXE1
ENSG00000106733	NMRK1
ENSG00000166206	GABRB3
ENSG00000171724	VAT1L
ENSG00000063127	SLC6A16
ENSG00000186777	ZNF732
ENSG00000239264	TXNDC5
ENSG00000184368	MAP7D2
ENSG00000261796	ISY1-RAB43
ENSG00000233382	NKAPP1
ENSG00000259439	LINC01833
ENSG00000134762	DSC3
ENSG00000132256	TRIM5
ENSG00000222041	CYTOR
ENSG00000242028	HYPK
ENSG00000122824	NUDT10
ENSG00000172159	FRMD3
ENSG00000267260	AC020928.1
ENSG00000109956	B3GAT1
ENSG00000171208	NETO2
ENSG00000148908	RGS10
ENSG00000120327	PCDHB14
ENSG00000105048	TNNT1
ENSG00000101888	NXT2
ENSG00000183323	CCDC125
ENSG00000278318	ZNF229
ENSG00000102935	ZNF423
ENSG00000119408	NEK6
ENSG00000261115	TMEM178B
ENSG00000210112	MT-TM
ENSG00000153721	CNKSR3
ENSG00000132692	BCAN
ENSG00000279738	AL022311.1
ENSG00000205744	DENND1C
ENSG00000095370	SH2D3C
ENSG00000204967	PCDHA4
ENSG00000162407	PLPP3
ENSG00000112852	PCDHB2
ENSG00000138083	SIX3
ENSG00000263244	AC087190.3
ENSG00000203877	RIPPLY2
ENSG00000137070	IL11RA
ENSG00000138759	FRAS1
ENSG00000051620	HEBP2
ENSG00000144891	AGTR1
ENSG00000187239	FNBP1
ENSG00000106012	IQCE
ENSG00000197321	SVIL
ENSG00000178252	WDR6
ENSG00000204628	RACK1
ENSG00000258240	AC002351.1
