"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"1","SLC22A4","X89",0.195100581893778,0.0454362055172347,4.29394531679749,1.75525723899334e-05,2.34822942862714e-05,1.75525723899334e-05,1.71749220481523e-05,1.21543323091797,1.11187441743088,1.32863740334372
"2","HAPLN4","X42",-0.182414644315409,0.048908745080357,-3.72969382092511,0.000191712588095339,0.000135505053318814,0.000191712588095339,0.000183878688631301,0.833255764009212,0.757089333044096,0.917084864295843
"3","NXT2","X69",-0.180980941775885,0.0490531543720808,-3.68948631525504,0.00022470731450673,0.000120883344567572,0.00022470731450673,0.000218407575849659,0.834451261703406,0.757960991039015,0.918660612340886
"4","NETO2","X64",-0.155397753848915,0.044428964699594,-3.4976676791736,0.00046934556673394,0.000475361263160351,0.00046934556673394,0.000473211511353543,0.856074602787439,0.784681854271991,0.933962881322908
"5","FNBP1","X34",0.15985930114704,0.0472251060137096,3.38504906904036,0.000711655315158728,0.000646168880117425,0.000711655315158728,0.000713976516545058,1.17334577097329,1.06961609480782,1.28713498697705
"6","ZNF732","X115",-0.155405910566918,0.0473145502923699,-3.28452684441935,0.00102153766137361,0.000753212678363631,0.00102153766137361,0.001003000809133,0.856067620056792,0.780250134785527,0.939252346699233
"7","KCNQ3","X58",0.146390210709763,0.0457919496345611,3.1968547283533,0.00138934878728826,0.00134695088072452,0.00138934878728826,0.00137186078180925,1.15764782650802,1.05827438048272,1.26635257824862
"8","CD9","X12",0.141985984157209,0.046204150165855,3.07301365023562,0.00211908794281695,0.00173410832002,0.00211908794281696,0.00211176533323242,1.1525604943171,1.05277287212226,1.2618065379882
"9","HRH3","X44",-0.137767397218519,0.0449756494142958,-3.06315526318402,0.00219016392300422,0.00206084292970328,0.00219016392300422,0.00216031334604485,0.871301335291255,0.797783477141925,0.951594058578465
"10","DEPDC4","X23",-0.142610515093478,0.0466560490628176,-3.05663505500579,0.00223836618033333,0.00175452663005493,0.00223836618033333,0.00229787284652296,0.867091722274169,0.791318536775269,0.950120615018407
"11","PPIA","X78",-0.144353742534031,0.0475058212252694,-3.03865376517786,0.00237637797048474,0.00198730980933077,0.00237637797048475,0.00236882086886711,0.865581500902536,0.788625721670757,0.950046789137678
"12","CACNA1D","X9",0.133650029885206,0.0447182637563088,2.98871241096321,0.00280155691606728,0.00280988876905951,0.00280155691606728,0.00278965675678751,1.14299273634098,1.04707843536551,1.24769296282203
"13","IGSF10","X48",0.12402628991914,0.0445311590371166,2.78515746279507,0.00535017346419065,0.00598220086777112,0.00535017346419067,0.00531612569258664,1.13204563199609,1.0374303330665,1.23528999690362
"14","OSTF1","X70",0.118123047559968,0.0446208258422172,2.64726269248491,0.00811462905469807,0.00761068008884919,0.00811462905469806,0.00811792755465826,1.12538257842846,1.03114293837991,1.22823509786154
"15","RIPPLY2","X83",-0.118042932690456,0.0452741513438977,-2.60729200187131,0.00912614974563214,0.00862460668280673,0.00912614974563214,0.0091955166638587,0.888657899321099,0.813199640950188,0.971118065304411
"16","TOX2","X103",0.118007704399047,0.0459902589481339,2.56592824432955,0.0102900112590673,0.00907637758094141,0.0102900112590673,0.0102361479622407,1.1252527807304,1.02826041117921,1.23139411648594
"17","B3GAT1","X4",0.114391183163317,0.0446924438124708,2.5595195385444,0.010481696360177,0.0102791667397221,0.010481696360177,0.0104885263056874,1.12119063000798,1.02715783323335,1.22383180865264
"18","IL11RA","X49",0.112973701864715,0.0456805551500657,2.47312453829827,0.0133937459589684,0.0124738187866365,0.0133937459589684,0.0135091663042525,1.1196024891037,1.0237183694716,1.22446736425587
"19","VAT1L","X106",0.107972390743573,0.0444383671591114,2.42971102779222,0.0151108653110902,0.0141896912727471,0.0151108653110902,0.0151153404427325,1.11401698778119,1.02109419404251,1.21539604896962
"20","NKAPP1","X65",-0.111043200237021,0.0457779402842521,-2.42569236508922,0.0152792158997475,0.0143264139266295,0.0152792158997475,0.015300421359994,0.894900088198041,0.818103588179665,0.978905580451978
"21","DLG2","X25",0.111629050580356,0.0460939023969806,2.42177478528414,0.0154449192077732,0.0139649291594622,0.0154449192077732,0.01543453818494,1.11809802589464,1.02151483913166,1.22381305451438
"22","GABRB3","X39",-0.104602608069362,0.0433022086868295,-2.41564140124745,0.0157075223036553,0.0169087845236595,0.0157075223036553,0.0157582865979595,0.900682375385695,0.827394743882273,0.980461560009431
"23","NUDT11","X68",-0.0989620394280869,0.0419770773661947,-2.35752571730455,0.0183971809517133,0.0191752005871118,0.0183971809517133,0.0184602188569819,0.905777091187349,0.8342387895144,0.983450001644468
"24","THSD7A","X99",0.10796355293528,0.0458312790966017,2.35567400830594,0.0184891352886245,0.0184107825414263,0.0184891352886245,0.0184721794586662,1.11400714235613,1.01830135061806,1.21870791241436
"25","TMOD1","X100",0.107800317465497,0.0470869842190127,2.28938674356574,0.0220568916800086,0.0204603870080228,0.0220568916800086,0.0221071298901174,1.11382531171791,1.01563245239887,1.22151160303439
"26","ZNF423","X113",0.102819824407367,0.0450538622307624,2.28215338966351,0.0224802858348294,0.0214948004028272,0.0224802858348294,0.0224914162934831,1.10829170397098,1.01462174404462,1.210609282031
"27","HSD17B12","X45",-0.101294157560432,0.0447020839622526,-2.26598289345899,0.0234524306469147,0.0235493082241347,0.0234524306469147,0.0234719526389338,0.903667173254344,0.827862143214876,0.986413458702555
"28","IQCE","X53",0.101446940452933,0.0455655385138946,2.22639617047427,0.0259876567722073,0.0258375061903396,0.0259876567722073,0.0259564343435737,1.1067711920558,1.01221411647415,1.21016141903993
"29","PHACTR1","X76",0.10436407367788,0.0471874307359159,2.2116922250324,0.0269879380889297,0.0254958496498876,0.0269879380889298,0.0269995150171428,1.11000450478168,1.01194923737699,1.21756107433738
"30","PPIB","X79",-0.0932236209749192,0.0445098649847085,-2.0944485229723,0.036220044139336,0.0356960212277391,0.036220044139336,0.03626725945676,0.910989761098292,0.834884945620091,0.994031991090141
"31","SPG7","X95",0.0920010022380994,0.0442839625278971,2.07752416419697,0.0377532073556437,0.0361430137724379,0.0377532073556437,0.037854013857852,1.09636592089996,1.00521960551489,1.19577674959407
"32","TXNDC5","X105",-0.0859914412272344,0.0418295228825176,-2.05575955214096,0.0398056985491737,0.042732875991237,0.0398056985491737,0.0402884396875245,0.917602084734275,0.845374292860652,0.996000934756929
"33","MTMR11","X62",0.0901868335173179,0.0440250833760683,2.04853294079944,0.0405078078126009,0.0414645368512927,0.0405078078126009,0.040540108251761,1.09437873123342,1.00390686767178,1.19300389901073
