"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"1","SLC22A4","X18580",-2.54542907119843,0.262530261460337,-9.69575490855553,3.14304652426641e-22,7.68908342027599e-31,3.14304652426646e-22,1.02361973560004e-25,0.0784393886767563,0.046888683223878,0.131220099882224
"2","NXT2","X14580",1.12843353351325,0.116139646632574,9.71617846473415,2.5725572628669e-22,1.08976949846372e-17,2.5725572628669e-22,7.20882326904429e-25,3.09081105406802,2.46158144923199,3.88088437005798
"3","NETO2","X14103",1.12447821594782,0.117914080023487,9.53642021142719,1.4784783071969e-21,2.28621658085682e-21,1.47847830719689e-21,5.12897710484096e-22,3.07861006012385,2.44335199705346,3.87903172106415
"4","HAPLN4","X7798",0.807968223045125,0.0914771866298597,8.83245596865996,1.02402038595251e-18,5.32831749190967e-18,1.0240203859525e-18,1.96024000872605e-21,2.24334537570596,1.87512670257046,2.68387115804096
"5","ZNF732","X22988",1.42416805662564,0.160574851930476,8.86918492842366,7.36832250805778e-19,2.55289973588995e-16,7.36832250805784e-19,3.87540263704759e-21,4.15440017896185,3.03268125243141,5.69101709357721
"6","FNBP1","X6701",-1.59302653594688,0.17362892431284,-9.17489146610503,4.52029588445326e-20,1.06158991523533e-16,4.52029588445323e-20,6.0185464985522e-19,0.20330935656942,0.144665228582318,0.285726534798588
"7","PPIA","X16220",1.48091650959336,0.176514970941335,8.38975018207118,4.87176286520172e-17,4.74799408920511e-15,4.87176286520175e-17,4.39623143190328e-18,4.39697370335707,3.11102895079181,6.21446410618998
"8","CD9","X3315",-0.592352494628784,0.0714157099685568,-8.29442842323611,1.09108551398468e-16,3.37431783357235e-14,1.09108551398468e-16,1.13879693414471e-17,0.553024765460083,0.480789990648061,0.636112226046845
"9","HRH3","X8269",0.835805144433896,0.102341107891033,8.16685652185645,3.16528981428652e-16,1.74496030639472e-16,3.16528981428655e-16,2.62154554160504e-17,2.30667050374626,1.88743782052375,2.81902203876393
"10","DEPDC4","X4859",2.30540491357397,0.272649792613736,8.45555351967588,2.77766520803598e-17,2.95672648478551e-12,2.77766520803601e-17,3.71482941706369e-16,10.0282380001353,5.87685138446897,17.1121491438642
"11","KCNQ3","X9062",-0.843534088640713,0.10893159973542,-7.74370422071778,9.6561492898917e-15,1.66957326282957e-15,9.65614928989174e-15,7.6507805902817e-16,0.430187512984281,0.347484193653689,0.532574717663381
"12","CACNA1D","X2788",-1.44807545013701,0.185683800678988,-7.79860949012165,6.25930317874538e-15,2.13173689819565e-15,6.2593031787454e-15,1.75261913362314e-15,0.235022164999953,0.163325683724792,0.33819186781632
"13","OSTF1","X15108",-0.879957606431711,0.117383172996029,-7.49645442333954,6.55672001734677e-14,1.15201858182239e-12,6.55672001734674e-14,4.61879864415114e-14,0.414800496182005,0.329550920628358,0.522102779457481
"14","VAT1L","X21914",-0.560569946696999,0.0776462161127339,-7.219539789075,5.21638045063445e-13,8.5222638843453e-12,5.21638045063447e-13,3.93562740047443e-13,0.570883597887514,0.490292202581434,0.664722140431881
"15","RIPPLY2","X17394",1.05691632720612,0.145080342005864,7.28504160242057,3.21571054689664e-13,1.56601016552295e-11,3.21571054689662e-13,4.77787835149036e-13,2.87748407478569,2.16531117736325,3.82389131280794
"16","TOX2","X21058",-0.575735675167947,0.0822613962814212,-6.9988561001119,2.58060738817993e-12,3.82945761919136e-11,2.58060738817992e-12,5.26263134778429e-13,0.562291053043746,0.478564132337016,0.660666370438287
"17","IGSF10","X8547",-0.811133302335442,0.120179245095877,-6.74936260157343,1.48496055829421e-11,7.77747048936484e-14,1.48496055829422e-11,2.81126749886134e-12,0.444354193111767,0.351101369782519,0.562375045868707
"18","B3GAT1","X1360",-0.895738697009051,0.134291061928906,-6.67012892848563,2.55578798690661e-11,6.40663043233716e-11,2.55578798690662e-11,2.53848971872276e-11,0.408305872885534,0.313817289867163,0.531244425389649
"19","NUDT11","X14508",1.20107343960216,0.178453558680283,6.73045384179756,1.69134698951225e-11,2.64746696712979e-11,1.69134698951226e-11,2.67683582740236e-11,3.32368278124967,2.34271588665503,4.71541055972795
"20","ZNF423","X22747",-0.765847013253791,0.11394792593195,-6.72102635471539,1.80448949378734e-11,2.93488504056152e-10,1.80448949378735e-11,3.12693923216344e-11,0.46493995384282,0.371881194927118,0.581285538575642
"21","IL11RA","X8574",-0.87934201598708,0.130906769278049,-6.71731508490092,1.8510343506473e-11,4.78394622483057e-10,1.8510343506473e-11,4.47829504000915e-11,0.415055922014668,0.32112829297635,0.536456681542331
"22","DLG2","X4999",-0.591537817865332,0.0907777292303666,-6.51633195587198,7.20474390781385e-11,1.25876919720705e-09,7.20474390781385e-11,4.83151743999746e-11,0.553475485456742,0.463263673517278,0.661254336382046
