"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"1","NETO2","X14103",0.649898121525183,0.0604122558096986,10.7577198171906,5.45020355395446e-27,3.53215070255952e-19,5.45020355395446e-27,6.49079344936366e-31,1.91534568657636,1.70146947698791,2.15610632380021
"2","HRH3","X8269",0.566122145211107,0.0594561708896515,9.52167179184493,1.70415116863968e-21,5.18293918758141e-15,1.70415116863967e-21,2.76889501505541e-23,1.76142324679687,1.5676696096719,1.97912355716699
"3","NXT2","X14580",0.458393030652077,0.0523815861666457,8.75103379255747,2.11407051512766e-18,2.78221471884036e-12,2.11407051512766e-18,8.56748994589341e-22,1.58153047087772,1.42721787646097,1.75252753736307
"4","ZNF732","X22988",0.556425697049414,0.0652483924586929,8.5278069862284,1.49148121055857e-17,1.5807020367707e-13,1.49148121055857e-17,5.36674941892422e-20,1.74442623608309,1.53501660378889,1.98240389427964
"5","SLC22A4","X18580",-2.01914581772888,0.239472966594266,-8.43162318672016,3.40903174359095e-17,5.40060665494215e-29,3.40903174359095e-17,2.72949679449324e-17,0.13276882543487,0.0830340754767516,0.212293096612975
"6","NUDT11","X14508",0.590743329053958,0.0720569235463754,8.19828685405587,2.43836940655396e-16,4.50453198748115e-13,2.43836940655398e-16,4.74485522857863e-17,1.80532987090969,1.56755072596935,2.07917733621241
"7","PPIA","X16220",0.524789398459387,0.0648443409211763,8.09306395907875,5.81822936741904e-16,6.20526060188865e-12,5.81822936741912e-16,5.27638234041362e-17,1.69010287262712,1.4883927190066,1.91914921618867
"8","HAPLN4","X7798",0.507216482886345,0.064684699482277,7.84136723129274,4.45666979849193e-15,7.37683641366263e-12,4.45666979849191e-15,9.49334139251957e-17,1.66066227373497,1.46292345712889,1.88512883156512
"9","FNBP1","X6701",-1.04682694913436,0.125052220072253,-8.37111846978425,5.70738935929593e-17,2.50498759519106e-19,5.7073893592959e-17,1.66081627674047e-16,0.351049882884305,0.274741452395508,0.448552699996933
"10","DEPDC4","X4859",0.351201221315583,0.0434348402975534,8.08570306485887,6.18066040965706e-16,2.46477908902538e-09,6.18066040965706e-16,5.85532595563379e-16,1.42077318700039,1.30482704400016,1.5470222342349
