,external_gene_name,log2FoldChange,padj,gene_biotype,description,ensembl_gene_id_version
1,AL139011.2,6.568743108,0.040201405,protein_coding,novel protein,ENSG00000258465.8
2,PLXDC1,3.570139924,0.032558904,protein_coding,plexin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20945],ENSG00000161381.14
3,DIPK2A,2.576217625,0.036660107,protein_coding,divergent protein kinase domain 2A [Source:HGNC Symbol;Acc:HGNC:28490],ENSG00000181744.9
4,VWA7,2.350472726,0.040201405,protein_coding,von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:HGNC:13939],ENSG00000204396.11
5,ITGA11,2.151866333,0.016860843,protein_coding,integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136],ENSG00000137809.17
6,DNM1P46,2.088457274,0.04166493,transcribed_unprocessed_pseudogene,dynamin 1 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:35199],ENSG00000182397.14
7,FNBP1,0.753757884,0.027461494,protein_coding,formin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17069],ENSG00000187239.17
8,SLC7A6,0.734535123,0.036331099,protein_coding,solute carrier family 7 member 6 [Source:HGNC Symbol;Acc:HGNC:11064],ENSG00000103064.15
9,ZNF423,-0.621056389,0.004462958,protein_coding,zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762],ENSG00000102935.11
10,FLVCR1,-0.677890482,0.040201405,protein_coding,FLVCR heme transporter 1 [Source:HGNC Symbol;Acc:HGNC:24682],ENSG00000162769.13
11,CYP3A5,-0.703775496,0.014240527,protein_coding,cytochrome P450 family 3 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:2638],ENSG00000106258.15
12,SIX3,-0.722121575,0.012386862,protein_coding,SIX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:10889],ENSG00000138083.5
13,FGF23,-0.738283313,0.030206339,protein_coding,fibroblast growth factor 23 [Source:HGNC Symbol;Acc:HGNC:3680],ENSG00000118972.3
14,CACNA1D,-0.75238293,0.005584035,protein_coding,calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391],ENSG00000157388.19
15,SLITRK5,-0.820189399,0.040741652,protein_coding,SLIT and NTRK like family member 5 [Source:HGNC Symbol;Acc:HGNC:20295],ENSG00000165300.7
16,RPSAP48,-0.824017004,0.010115412,processed_pseudogene,ribosomal protein SA pseudogene 48 [Source:HGNC Symbol;Acc:HGNC:36646],ENSG00000240590.1
17,LINC01363,-0.840337237,0.048649299,lncRNA,long intergenic non-protein coding RNA 1363 [Source:HGNC Symbol;Acc:HGNC:50598],ENSG00000231605.6
18,MAP3K4,-0.960557852,0.022627527,protein_coding,mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856],ENSG00000085511.20
19,PCDHB14,-0.9611151,0.005652408,protein_coding,protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685],ENSG00000120327.6
20,IL20RA,-0.976995385,0.000424981,protein_coding,interleukin 20 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6003],ENSG00000016402.13
21,CHRDL1,-1.11232058,0.006990187,protein_coding,chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861],ENSG00000101938.15
22,SYT3,-1.199275435,0.00372038,protein_coding,synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:11511],ENSG00000213023.11
23,TNNT1,-1.207592227,0.033143359,protein_coding,"troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]",ENSG00000105048.17
24,BCAN,-1.342014414,0.010438985,protein_coding,brevican [Source:HGNC Symbol;Acc:HGNC:23059],ENSG00000132692.19
25,DLG2,-1.357126829,0.00372038,protein_coding,discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901],ENSG00000150672.17
26,HRH3,-1.499605488,0.042303938,protein_coding,histamine receptor H3 [Source:HGNC Symbol;Acc:HGNC:5184],ENSG00000101180.16
27,TRIM5,-1.588623903,0.004424419,protein_coding,tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276],ENSG00000132256.19
28,DEPDC4,-1.784776826,0.00343637,protein_coding,DEP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:22952],ENSG00000166153.16
29,PALM2AKAP2,-1.832346172,4.81E-07,protein_coding,PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529],ENSG00000157654.19
30,DENND1C,-1.839205393,0.022048968,protein_coding,DENN domain containing 1C [Source:HGNC Symbol;Acc:HGNC:26225],ENSG00000205744.10
31,PCDHB2,-2.074584504,0.006084587,protein_coding,protocadherin beta 2 [Source:HGNC Symbol;Acc:HGNC:8687],ENSG00000112852.7
32,CD38,-2.235096366,0.030029394,protein_coding,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667],ENSG00000004468.13
33,GUSBP5,-2.895040664,0.028506774,transcribed_processed_pseudogene,GUSB pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42319],ENSG00000236296.8
34,DIO3,-5.566113403,5.58E-06,protein_coding,iodothyronine deiodinase 3 [Source:HGNC Symbol;Acc:HGNC:2885],ENSG00000197406.7
35,AL133461.1,-5.813397589,0.04975415,processed_pseudogene,VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) (VMA21) pseudogene,ENSG00000282413.1
36,SHANK1,-6.911638206,0.000794299,protein_coding,SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474],ENSG00000161681.15
